season,roundNumber,homeTeam.teamName,awayTeam.teamName,homeTeamScore.totalScore,awayTeamScore.totalScore,date,venue.name,venueWidth,venueLength,homeTeamDirectionQtr1,displayOrder,chain_number,initialState,finalState,period,periodSeconds,playerName.givenName,playerName.surname,team.teamName,description,disposal,shotAtGoal,behindInfo,x,y
2021,27,Melbourne,Western Bulldogs,140,66,2021-09-25,Optus Stadium,130,165,left,1,1,centreBounce,turnover,1,0,NA,NA,NA,Centre Bounce,NA,NA,NA,0,0
2021,27,Melbourne,Western Bulldogs,140,66,2021-09-25,Optus Stadium,130,165,left,2,1,centreBounce,turnover,1,5,Jack,Macrae,Western Bulldogs,Hard Ball Get,NA,NA,NA,0,0
2021,27,Melbourne,Western Bulldogs,140,66,2021-09-25,Optus Stadium,130,165,left,3,1,centreBounce,turnover,1,5,Jack,Macrae,Western Bulldogs,Handball,ineffective,NA,NA,1,1
2021,27,Melbourne,Western Bulldogs,140,66,2021-09-25,Optus Stadium,130,165,left,4,1,centreBounce,turnover,1,9,Max,Gawn,Melbourne,Loose Ball Get,NA,NA,NA,1,2
2021,27,Melbourne,Western Bulldogs,140,66,2021-09-25,Optus Stadium,130,165,left,5,1,centreBounce,turnover,1,9,Max,Gawn,Melbourne,Handball,ineffective,NA,NA,3,0
2021,27,Melbourne,Western Bulldogs,140,66,2021-09-25,Optus Stadium,130,165,left,6,1,centreBounce,turnover,1,16,Tom,Liberatore,Western Bulldogs,Free For,NA,NA,NA,4,-4
2021,27,Melbourne,Western Bulldogs,140,66,2021-09-25,Optus Stadium,130,165,left,7,1,centreBounce,turnover,1,29,Tom,Liberatore,Western Bulldogs,Kick,effective,NA,NA,2,-14
2021,27,Melbourne,Western Bulldogs,140,66,2021-09-25,Optus Stadium,130,165,left,8,1,centreBounce,turnover,1,29,Tom,Liberatore,Western Bulldogs,Kick Into F50,NA,NA,NA,2,-14
2021,27,Melbourne,Western Bulldogs,140,66,2021-09-25,Optus Stadium,130,165,left,9,1,centreBounce,turnover,1,29,Marcus,Bontempelli,Western Bulldogs,Kick Inside 50 Result,NA,NA,NA,55,-27
2021,27,Melbourne,Western Bulldogs,140,66,2021-09-25,Optus Stadium,130,165,left,10,1,centreBounce,turnover,1,33,Christian,Petracca,Melbourne,Hard Ball Get Crumb,NA,NA,NA,52,-26
2021,27,Melbourne,Western Bulldogs,140,66,2021-09-25,Optus Stadium,130,165,left,11,2,possGain,turnover,1,33,Christian,Petracca,Melbourne,Hard Ball Get Crumb,NA,NA,NA,-52,26
2021,27,Melbourne,Western Bulldogs,140,66,2021-09-25,Optus Stadium,130,165,left,12,2,possGain,turnover,1,35,Christian,Petracca,Melbourne,Kick,clanger,NA,NA,-50,27
2021,27,Melbourne,Western Bulldogs,140,66,2021-09-25,Optus Stadium,130,165,left,13,2,possGain,turnover,1,37,Caleb,Daniel,Western Bulldogs,Uncontested Mark,NA,NA,NA,-16,40
2021,27,Melbourne,Western Bulldogs,140,66,2021-09-25,Optus Stadium,130,165,left,14,3,possGain,turnover,1,37,Caleb,Daniel,Western Bulldogs,Uncontested Mark,NA,NA,NA,16,-40
2021,27,Melbourne,Western Bulldogs,140,66,2021-09-25,Optus Stadium,130,165,left,15,3,possGain,turnover,1,48,Caleb,Daniel,Western Bulldogs,Kick,clanger,NA,NA,19,-52
2021,27,Melbourne,Western Bulldogs,140,66,2021-09-25,Optus Stadium,130,165,left,16,3,possGain,turnover,1,48,Caleb,Daniel,Western Bulldogs,Kick Into F50,NA,NA,NA,19,-52
