season,roundNumber,homeTeam.teamName,awayTeam.teamName,homeTeamScore.totalScore,awayTeamScore.totalScore,date,venue.name,venueWidth,venueLength,homeTeamDirectionQtr1,displayOrder,chain_number,initialState,finalState,period,periodSeconds,playerName.givenName,playerName.surname,team.teamName,description,disposal,shotAtGoal,behindInfo,x,y
2021,25,Geelong Cats,GWS Giants,103,68,2021-09-03,Optus Stadium,130,165,left,1,1,centreBounce,ballUpCall,1,0,NA,NA,NA,Centre Bounce,NA,NA,NA,0,0
2021,25,Geelong Cats,GWS Giants,103,68,2021-09-03,Optus Stadium,130,165,left,2,1,centreBounce,ballUpCall,1,9,NA,NA,NA,Ball Up Call,NA,NA,NA,1,14
2021,25,Geelong Cats,GWS Giants,103,68,2021-09-03,Optus Stadium,130,165,left,3,2,ballUp,turnover,1,18,Stephen,Coniglio,GWS Giants,Gather From Hitout,NA,NA,NA,-5,-17
2021,25,Geelong Cats,GWS Giants,103,68,2021-09-03,Optus Stadium,130,165,left,4,2,ballUp,turnover,1,20,Stephen,Coniglio,GWS Giants,Kick,ineffective,NA,NA,-5,-17
2021,25,Geelong Cats,GWS Giants,103,68,2021-09-03,Optus Stadium,130,165,left,5,2,ballUp,turnover,1,30,Jake,Kolodjashnij,Geelong Cats,Loose Ball Get,NA,NA,NA,10,-36
2021,25,Geelong Cats,GWS Giants,103,68,2021-09-03,Optus Stadium,130,165,left,6,3,possGain,turnover,1,30,Jake,Kolodjashnij,Geelong Cats,Loose Ball Get,NA,NA,NA,-10,36
2021,25,Geelong Cats,GWS Giants,103,68,2021-09-03,Optus Stadium,130,165,left,7,3,possGain,turnover,1,31,Jake,Kolodjashnij,Geelong Cats,Handball,effective,NA,NA,-8,38
2021,25,Geelong Cats,GWS Giants,103,68,2021-09-03,Optus Stadium,130,165,left,8,3,possGain,turnover,1,32,Joel,Selwood,Geelong Cats,Handball Received,NA,NA,NA,-3,41
2021,25,Geelong Cats,GWS Giants,103,68,2021-09-03,Optus Stadium,130,165,left,9,3,possGain,turnover,1,35,Joel,Selwood,Geelong Cats,Kick,ineffective,NA,NA,5,40
2021,25,Geelong Cats,GWS Giants,103,68,2021-09-03,Optus Stadium,130,165,left,10,3,possGain,turnover,1,37,Nick,Haynes,GWS Giants,Uncontested Mark,NA,NA,NA,42,34
2021,25,Geelong Cats,GWS Giants,103,68,2021-09-03,Optus Stadium,130,165,left,11,4,possGain,turnover,1,37,Nick,Haynes,GWS Giants,Uncontested Mark,NA,NA,NA,-42,-34
2021,25,Geelong Cats,GWS Giants,103,68,2021-09-03,Optus Stadium,130,165,left,12,4,possGain,turnover,1,49,Nick,Haynes,GWS Giants,Kick,ineffective,NA,NA,-47,-34
2021,25,Geelong Cats,GWS Giants,103,68,2021-09-03,Optus Stadium,130,165,left,13,4,possGain,turnover,1,52,Rhys,Stanley,Geelong Cats,Uncontested Mark,NA,NA,NA,-6,-41
2021,25,Geelong Cats,GWS Giants,103,68,2021-09-03,Optus Stadium,130,165,left,14,5,possGain,turnover,1,52,Rhys,Stanley,Geelong Cats,Uncontested Mark,NA,NA,NA,6,41
2021,25,Geelong Cats,GWS Giants,103,68,2021-09-03,Optus Stadium,130,165,left,15,5,possGain,turnover,1,55,Rhys,Stanley,Geelong Cats,Kick,effective,NA,NA,0,43
2021,25,Geelong Cats,GWS Giants,103,68,2021-09-03,Optus Stadium,130,165,left,16,5,possGain,turnover,1,56,Tom,Hawkins,Geelong Cats,Uncontested Mark,NA,NA,NA,11,56
2021,25,Geelong Cats,GWS Giants,103,68,2021-09-03,Optus Stadium,130,165,left,17,5,possGain,turnover,1,59,Tom,Hawkins,Geelong Cats,Kick,effective,NA,NA,8,59
2021,25,Geelong Cats,GWS Giants,103,68,2021-09-03,Optus Stadium,130,165,left,18,5,possGain,turnover,1,61,Joel,Selwood,Geelong Cats,Mark On Lead,NA,NA,NA,12,38
